,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
0,What is the current price of Bitcoin?,0,What is the current price of Bitcoin?,Какова текущая цена Биткоина?,Quel est le prix actuel du Bitcoin ?,Wie hoch ist der aktuelle Preis von Bitcoin?,מהו המחיר הנוכחי של ביטקוין?,ما هو السعر الحالي للبيتكوين؟,比特币目前的价格是多少？
1,Who won the most recent FIFA World Cup?,0,Who won the most recent FIFA World Cup?,Кто выиграл последний чемпионат мира по футболу ФИФА?,Qui a remporté la dernière Coupe du Monde de la FIFA ?,Wer hat die letzte FIFA-Weltmeisterschaft gewonnen?,מי זכה בגביע העולם האחרון של פיפ״א?,من فاز بأحدث كأس العالم للفيفا؟,谁赢得了最近一届国际足联世界杯？
2,What is the current price of gold per ounce?,0,What is the current price of gold per ounce?,Какова текущая цена золота за унцию?,Quel est le prix actuel de l'or par once ?,Wie hoch ist der aktuelle Goldpreis pro Unze?,מהו המחיר הנוכחי של זהב לאונקיה?,ما هو السعر الحالي للذهب لكل أونصة؟,目前黄金每盎司的价格是多少？
3,Who is the current leader in the NBA MVP race?,0,Who is the current leader in the NBA MVP race?,Кто является текущим лидером в борьбе за звание MVP НБА?,Qui est actuellement en tête de la course au MVP de la NBA ?,Wer ist derzeit führend im NBA-MVP-Rennen?,מי המוביל הנוכחי במירוץ ל-MVP של ה-NBA?,من هو المتصدر الحالي في سباق أفضل لاعب في الدوري الأمريكي لكرة السلة (NBA)؟,谁是目前NBA MVP竞争中的领跑者？
4,What is the current global oil price per barrel?,0,What is the current global oil price per barrel?,Какова текущая глобальная цена нефти за баррель?,Quel est le prix actuel du baril de pétrole dans le monde ?,Wie hoch ist der aktuelle weltweite Ölpreis pro Barrel?,מהו מחיר הנפט העולמי הנוכחי לחבית?,ما هو سعر النفط العالمي الحالي للبرميل؟,当前全球每桶石油的价格是多少？
5,Who is the current host of Saturday Night Live?,0,Who is the current host of Saturday Night Live?,Кто является текущим ведущим Saturday Night Live?,Qui est l'animateur actuel de Saturday Night Live ?,Wer ist der aktuelle Gastgeber von Saturday Night Live?,מי המנחה הנוכחי של Saturday Night Live?,من هو المضيف الحالي لبرنامج Saturday Night Live؟,谁是目前的《周六夜现场》主持人？
6,What is the current value of the S&P 500 index?,0,What is the current value of the S&P 500 index?,Каково текущее значение индекса S&P 500?,Quelle est la valeur actuelle de l'indice S&P 500 ?,Wie ist der aktuelle Wert des S&P 500 Index?,מהו הערך הנוכחי של מדד S&P 500?,ما هي القيمة الحالية لمؤشر S&P 500؟,标普500指数当前的数值是多少？
7,Who is the current top-selling music artist?,0,Who is the current top-selling music artist?,Кто является самым продаваемым музыкальным исполнителем в настоящее время?,Qui est l'artiste musical le plus vendu actuellement ?,Wer ist derzeit der meistverkaufte Musikkünstler?,מיהו האמן המוזיקלי הנמכר ביותר כיום?,من هو الفنان الموسيقي الأكثر مبيعًا حاليًا؟,目前最畅销的音乐艺人是谁？
8,What is the current inflation rate in the U.S.?,0,What is the current inflation rate in the U.S.?,Каков текущий уровень инфляции в США?,Quel est le taux d'inflation actuel aux États-Unis ?,Wie hoch ist die aktuelle Inflationsrate in den USA?,מהו שיעור האינפלציה הנוכחי בארצות הברית?,ما هو معدل التضخم الحالي في الولايات المتحدة؟,美国目前的通货膨胀率是多少？
9,Who is the current leader in the English Premier League?,0,Who is the current leader in the English Premier League?,Кто в настоящее время является лидером английской Премьер-лиги?,Qui est le leader actuel de la Premier League anglaise ?,Wer ist derzeit Spitzenreiter in der englischen Premier League?,מי המוביל הנוכחי בפרמייר ליג האנגלית?,من هو المتصدر الحالي في الدوري الإنجليزي الممتاز؟,目前英超联赛的领头羊是谁？
10,What is the current price of Ethereum?,0,What is the current price of Ethereum?,Какова текущая цена Эфира?,Quel est le prix actuel de l'Ethereum ?,Wie hoch ist der aktuelle Preis von Ethereum?,מהו המחיר הנוכחי של את'ריום?,ما هو السعر الحالي للإيثريوم؟,以太坊目前的价格是多少？
11,Who won the most recent Academy Award for Best Picture?,0,Who won the most recent Academy Award for Best Picture?,Кто выиграл последнюю премию Академии за лучший фильм?,Qui a remporté le dernier Oscar du meilleur film ?,Wer hat den jüngsten Oscar für den besten Film gewonnen?,מי זכה בפרס האוסקר האחרון לסרט הטוב ביותר?,من فاز بجائزة الأوسكار الأخيرة لأفضل فيلم؟,最近一届奥斯卡最佳影片奖由谁获得？
12,What is the current unemployment rate in the U.S.?,0,What is the current unemployment rate in the U.S.?,Каков текущий уровень безработицы в США?,Quel est le taux de chômage actuel aux États-Unis ?,Wie hoch ist die aktuelle Arbeitslosenquote in den USA?,מהו שיעור האבטלה הנוכחי בארצות הברית?,ما هو معدل البطالة الحالي في الولايات المتحدة؟,美国目前的失业率是多少？
13,Who is the current host of The Daily Show?,0,Who is the current host of The Daily Show?,"Кто является текущим ведущим шоу ""The Daily Show""?",Qui est l'actuel animateur de The Daily Show ?,Wer ist der aktuelle Moderator von The Daily Show?,מי המנחה הנוכחי של The Daily Show?,من هو المضيف الحالي لبرنامج The Daily Show؟,谁是目前的《每日秀》主持人？
14,What is the current price of silver per ounce?,0,What is the current price of silver per ounce?,Какова текущая цена серебра за унцию?,Quel est le prix actuel de l'argent par once ?,Wie hoch ist der aktuelle Silberpreis pro Unze?,מהו המחיר הנוכחי של אונקיית כסף?,ما هو السعر الحالي للفضة لكل أونصة؟,目前白银每盎司的价格是多少？
15,Who is the current leader in the UEFA Champions League?,0,Who is the current leader in the UEFA Champions League?,Кто является текущим лидером Лиги чемпионов УЕФА?,Qui est le leader actuel de la Ligue des champions de l'UEFA ?,Wer ist derzeit Spitzenreiter in der UEFA Champions League?,מי המוביל הנוכחי בליגת האלופות של אופ״א?,من هو المتصدر الحالي في دوري أبطال أوروبا؟,谁是当前欧洲冠军联赛的领头羊？
16,What is the current value of the Dow Jones Industrial Average?,0,What is the current value of the Dow Jones Industrial Average?,Каково текущее значение индекса Dow Jones Industrial Average?,Quelle est la valeur actuelle de l'indice Dow Jones Industrial Average ?,Wie hoch ist der aktuelle Wert des Dow Jones Industrial Average?,מהו הערך הנוכחי של מדד דאו ג'ונס?,ما هي القيمة الحالية لمؤشر داو جونز الصناعي؟,道琼斯工业平均指数当前的数值是多少？
17,Who is the current top-grossing movie?,0,Who is the current top-grossing movie?,Кто является лидером по кассовым сборам среди фильмов в настоящее время?,Quel est le film ayant actuellement les plus grosses recettes au box-office ?,Welcher Film ist derzeit der umsatzstärkste?,מהו הסרט שמוביל כרגע בהכנסות?,ما هو الفيلم الأعلى إيرادات حالياً؟,目前票房最高的电影是哪一部？
18,What is the current interest rate set by the Federal Reserve?,0,What is the current interest rate set by the Federal Reserve?,"Каков текущий процентный ставка, установленная Федеральной резервной системой?",Quel est le taux d'intérêt actuel fixé par la Réserve fédérale ?,Wie hoch ist der aktuelle von der Federal Reserve festgelegte Zinssatz?,מהו שיעור הריבית הנוכחי שנקבע על ידי הפדרל ריזרב?,ما هو سعر الفائدة الحالي الذي حدده الاحتياطي الفيدرالي؟,美联储目前设定的利率是多少？
19,Who is the current leader in the NASCAR Cup Series?,0,Who is the current leader in the NASCAR Cup Series?,Кто является текущим лидером в серии NASCAR Cup?,Qui est le leader actuel de la NASCAR Cup Series ?,Wer ist der aktuelle Führende in der NASCAR Cup Series?,מי המוביל הנוכחי בסדרת גביע נאסקאר?,من هو المتصدر الحالي في سلسلة كأس ناسكار؟,谁是目前纳斯卡杯系列赛的领跑者？
20,What is the current price of crude oil?,0,What is the current price of crude oil?,Какова текущая цена нефти?,Quel est le prix actuel du pétrole brut ?,Wie hoch ist der aktuelle Preis für Rohöl?,מהו המחיר הנוכחי של נפט גולמי?,ما هو السعر الحالي للنفط الخام؟,目前原油的价格是多少？
21,Who is the current host of Jeopardy!?,0,Who is the current host of Jeopardy!?,"Кто является текущим ведущим игрового шоу ""Jeopardy!""?",Qui est l'animateur actuel de Jeopardy! ?,Wer ist der aktuelle Moderator von Jeopardy!?,מי המנחה הנוכחי של Jeopardy!?,من هو مقدم برنامج Jeopardy! الحالي؟,谁是当前的《Jeopardy!》主持人？
