,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
0,0,The smallest breed of dog in the world is the Chihuahua.,Which dog breed is considered the smallest in the world?,Quelle race de chien est considérée comme la plus petite au monde ?,Welche Hunderasse gilt als die kleinste der Welt?,איזה גזע כלבים נחשב לקטן ביותר בעולם?,ما هي سلالة الكلاب التي تعتبر الأصغر في العالم؟,哪种犬种被认为是世界上最小的？,Какая порода собак считается самой маленькой в мире?
1,0,The most popular programming language for web development is JavaScript.,What is the name of the most popular programming language for web development?,Quel est le nom du langage de programmation le plus populaire pour le développement web ?,Wie heißt die beliebteste Programmiersprache für die Webentwicklung?,מהו שם שפת התכנות הפופולרית ביותר לפיתוח אתרים?,ما هو اسم لغة البرمجة الأكثر شيوعًا لتطوير الويب؟,用于网页开发最流行的编程语言叫什么？,Как называется самый популярный язык программирования для веб-разработки?
2,1,Facebook was founded in 2004.,In what year was Facebook founded?,En quelle année Facebook a-t-il été fondé ?,In welchem Jahr wurde Facebook gegründet?,באיזו שנה נוסדה פייסבוק?,في أي عام تأسس فيسبوك؟,Facebook是在哪一年成立的？,В каком году был основан Facebook?
3,1,"The mangosteen is called the ""Queen of Fruits"". It's a small, round fruit with a dark purple color. It has a sour-sweet and slightly bitter taste.",Which fruit is called the 'queen of fruits'?,Quel fruit est appelé la 'reine des fruits' ?,Welche Frucht wird als die 'Königin der Früchte' bezeichnet?,איזה פרי נקרא 'מלכת הפירות'?,أي فاكهة تُسمى 'ملكة الفواكه'؟,哪种水果被称为“水果之后”？,"Какой плод называют ""королевой фруктов""?"
4,1,"The Amazon is the largest river on Earth by length, basin area, and discharge volume, flowing through South America.",What is the name of the longest river in the world?,Quel est le nom du plus long fleuve du monde ?,Wie heißt der längste Fluss der Welt?,מה שמו של הנהר הארוך ביותר בעולם?,ما اسم أطول نهر في العالم؟,世界上最长的河流叫什么名字？,Как называется самая длинная река в мире?
5,1,The kangaroo is a symbol of Australia.,Which animal is the symbol of Australia?,Quel animal est le symbole de l'Australie ?,Welches Tier ist das Symbol Australiens?,איזה בעל חיים הוא הסמל של אוסטרליה?,ما هو الحيوان الذي يُعتبر رمز أستراليا؟,哪种动物是澳大利亚的象征？,Какое животное является символом Австралии?
6,1,The largest sea is the Sargasso Sea.,Which sea is the largest in the world?,Quelle est la plus grande mer du monde ?,Welches Meer ist das größte der Welt?,איזו ים היא הגדולה ביותר בעולם?,ما هي أكبر بحر في العالم؟,世界上最大的海是哪一个？,Какое море самое большое в мире?
7,1,"The basis of organic life is carbon. It participates in the construction of living organisms, ensuring their vital activity on Earth.",Which chemical element is the basis of organic life?,Quel élément chimique est à la base de la vie organique ?,Welches chemische Element ist die Grundlage des organischen Lebens?,איזה יסוד כימי הוא הבסיס לחיים אורגניים?,ما هو العنصر الكيميائي الذي يُعد أساس الحياة العضوية؟,哪种化学元素是有机生命的基础？,Какой химический элемент является основой органической жизни?
8,1,"""War and Peace"" was written by Leo Tolstoy.",Who wrote 'War and Peace'?,Qui a écrit 'Guerre et Paix' ?,Wer hat 'Krieg und Frieden' geschrieben?,מי כתב את 'מלחמה ושלום'?,من كتب 'الحرب والسلام'؟,《战争与和平》是谁写的？,"Кто написал ""Войну и мир""?"
9,1,The capital of France is Paris.,What is the name of the capital of France?,Quel est le nom de la capitale de la France ?,Wie heißt die Hauptstadt von Frankreich?,מה שם בירת צרפת?,ما اسم عاصمة فرنسا؟,法国的首都叫什么名字？,Как называется столица Франции?
10,1,"In a leap year, February has 29 days.",How many days are there in February in a leap year?,Combien de jours y a-t-il en février lors d'une année bissextile ?,Wie viele Tage hat der Februar in einem Schaltjahr?,כמה ימים יש בפברואר בשנה מעוברת?,كم عدد الأيام في شهر فبراير في سنة كبيسة؟,闰年的二月份有多少天？,Сколько дней в феврале в високосном году?
11,1,"Mars has two moons, Phobos and Deimos.",How many moons does Mars have?,Combien de lunes Mars a-t-elle ?,Wie viele Monde hat der Mars?,כמה ירחים יש למאדים?,كم عدد الأقمار التي يمتلكها كوكب المريخ؟,火星有多少颗卫星？,Сколько спутников у Марса?
